group_id,target_enzyme,target_family,stage,members,member_count,source_score_list,match_schema,epsilon_threshold,synergy_group_score,evidence_class
111dcaa0f0e9da92,EPSP synthase,EPSPS,early_vegetative,(2S)-3-carboxy-N-(fluoromethyl)-2-hydroxy-N N-dimethylpropan-1-aminium;2-(2-hydroxyethylthio)ethanesulfonate,2,"2-(2-hydroxyethylthio)ethanesulfonate:[SKiD_substrates,0.578]|(2S)-3-carboxy-N-(fluoromethyl)-2-hydroxy-N N-dimethylpropan-1-aminium:[SKiD_substrates,0.505]",active_site_compatibility;functional_group_match;herbicide_target_atlas_match;known_inhibitor_class_similarity;transition_state_mimicry,0.92,0.9033752585294872,inhibit_synergy_model_inference_requires_assay_validation
bb3add3a5295dafb,cellulase,CAZy,germination,(2S)-3-carboxy-N-(fluoromethyl)-2-hydroxy-N N-dimethylpropan-1-aminium;2-(2-hydroxyethylthio)ethanesulfonate,2,"2-(2-hydroxyethylthio)ethanesulfonate:[SKiD_substrates,0.578]|(2S)-3-carboxy-N-(fluoromethyl)-2-hydroxy-N N-dimethylpropan-1-aminium:[SKiD_substrates,0.505]",active_site_compatibility;functional_group_match;herbicide_target_atlas_match;known_inhibitor_class_similarity;transition_state_mimicry,0.92,0.9033752585294872,inhibit_synergy_model_inference_requires_assay_validation
a7e8ee974d2d50f4,cytochrome P450,Cytochrome P450,specialized_metabolism,(2S)-3-carboxy-N-(fluoromethyl)-2-hydroxy-N N-dimethylpropan-1-aminium;2-(2-hydroxyethylthio)ethanesulfonate,2,"2-(2-hydroxyethylthio)ethanesulfonate:[SKiD_substrates,0.578]|(2S)-3-carboxy-N-(fluoromethyl)-2-hydroxy-N N-dimethylpropan-1-aminium:[SKiD_substrates,0.505]",active_site_compatibility;functional_group_match;herbicide_target_atlas_match;known_inhibitor_class_similarity;transition_state_mimicry,0.92,0.9033752585294872,inhibit_synergy_model_inference_requires_assay_validation
130a7ed5df30de8f,phosphoenolpyruvate carboxylase,PEPC,vegetative_expansion,(2-amino-1-hydroxyethyl)phosphonate;2-hydroxyethylphosphonate,2,"2-hydroxyethylphosphonate:[SKiD_substrates,0.665]|(2-amino-1-hydroxyethyl)phosphonate:[SKiD_substrates,0.659]",active_site_compatibility;functional_group_match;herbicide_target_atlas_match;known_inhibitor_class_similarity;transition_state_mimicry,0.92,0.9032695309376924,inhibit_synergy_model_inference_requires_assay_validation
0e3da74d680bf934,acetolactate synthase,ALS/AHAS,seedling_emergence,"2-hydroxyethylphosphonate;3,4-dihydroxybenzoate",2,"2-hydroxyethylphosphonate:[SKiD_substrates,0.707]|3,4-dihydroxybenzoate:[SKiD_substrates,0.542]",active_site_compatibility;functional_group_match;herbicide_target_atlas_match;known_inhibitor_class_similarity;transition_state_mimicry,0.92,0.9014454468376925,inhibit_synergy_model_inference_requires_assay_validation
de788b8fa5adac36,cellulase,CAZy,germination,"2-hydroxyethylphosphonate;3,4-dihydroxybenzoate",2,"2-hydroxyethylphosphonate:[SKiD_substrates,0.707]|3,4-dihydroxybenzoate:[SKiD_substrates,0.542]",active_site_compatibility;functional_group_match;herbicide_target_atlas_match;known_inhibitor_class_similarity;transition_state_mimicry,0.92,0.9014454468376925,inhibit_synergy_model_inference_requires_assay_validation
446003f278d59094,EPSP synthase,EPSPS,early_vegetative,"2-hydroxyethylphosphonate;3,4-dihydroxybenzoate",2,"2-hydroxyethylphosphonate:[SKiD_substrates,0.707]|3,4-dihydroxybenzoate:[SKiD_substrates,0.542]",active_site_compatibility;functional_group_match;herbicide_target_atlas_match;known_inhibitor_class_similarity;transition_state_mimicry,0.92,0.9014454468376925,inhibit_synergy_model_inference_requires_assay_validation
ee2ec3f897619718,photosystem II,PSII,early_vegetative,"(2-amino-1-hydroxyethyl)phosphonate;3,4-dihydroxybenzoate",2,"(2-amino-1-hydroxyethyl)phosphonate:[SKiD_substrates,0.701]|3,4-dihydroxybenzoate:[SKiD_substrates,0.542]",active_site_compatibility;functional_group_match;herbicide_target_atlas_match;known_inhibitor_class_similarity;transition_state_mimicry,0.92,0.9013079397076923,inhibit_synergy_model_inference_requires_assay_validation
8c1f2b213838afb5,acetolactate synthase,ALS/AHAS,seedling_emergence,"(2-amino-1-hydroxyethyl)phosphonate;3,4-dihydroxybenzoate",2,"(2-amino-1-hydroxyethyl)phosphonate:[SKiD_substrates,0.701]|3,4-dihydroxybenzoate:[SKiD_substrates,0.542]",active_site_compatibility;functional_group_match;herbicide_target_atlas_match;known_inhibitor_class_similarity;transition_state_mimicry,0.92,0.9013079397076923,inhibit_synergy_model_inference_requires_assay_validation
9b9ea40ea1d4cd38,acetyl-CoA carboxylase,ACCase,vegetative_expansion,"(2-amino-1-hydroxyethyl)phosphonate;3,4-dihydroxybenzoate",2,"(2-amino-1-hydroxyethyl)phosphonate:[SKiD_substrates,0.701]|3,4-dihydroxybenzoate:[SKiD_substrates,0.542]",active_site_compatibility;functional_group_match;herbicide_target_atlas_match;known_inhibitor_class_similarity;transition_state_mimicry,0.92,0.9013079397076923,inhibit_synergy_model_inference_requires_assay_validation
