node_id,node_type,label,source_resource,evidence_class
EnzymeEC:1.14.14.19,EnzymeEC,1.14.14.19,SKiD,real_evidence
EnzymeEC:1.14.14.20,EnzymeEC,1.14.14.20,SKiD,real_evidence
EnzymeEC:1.14.14.23,EnzymeEC,1.14.14.23,SKiD,real_evidence
EnzymeEC:1.14.14.24,EnzymeEC,1.14.14.24,SKiD,real_evidence
EnzymeEC:1.14.14.25,EnzymeEC,1.14.14.25,SKiD,real_evidence
EnzymeEC:1.14.14.47,EnzymeEC,1.14.14.47,SKiD,real_evidence
EnzymeEC:1.14.14.9,EnzymeEC,1.14.14.9,SKiD,real_evidence
EnzymeEC:1.14.15.1,EnzymeEC,1.14.15.1,SKiD,real_evidence
EnzymeEC:1.14.15.11,EnzymeEC,1.14.15.11,SKiD,real_evidence
EnzymeEC:1.14.15.28,EnzymeEC,1.14.15.28,SKiD,real_evidence
EnzymeEC:1.14.15.29,EnzymeEC,1.14.15.29,SKiD,real_evidence
EnzymeEC:1.14.15.30,EnzymeEC,1.14.15.30,SKiD,real_evidence
EnzymeEC:1.14.16.1,EnzymeEC,1.14.16.1,SKiD,real_evidence
EnzymeEC:1.14.16.4,EnzymeEC,1.14.16.4,SKiD,real_evidence
EnzymeEC:1.14.18.1,EnzymeEC,1.14.18.1,SKiD,real_evidence
EnzymeEC:1.14.19.58,EnzymeEC,1.14.19.58,SKiD,real_evidence
EnzymeEC:1.14.19.8,EnzymeEC,1.14.19.8,SKiD,real_evidence
EnzymeEC:1.14.19.9,EnzymeEC,1.14.19.9,SKiD,real_evidence
EnzymeEC:1.14.20.1,EnzymeEC,1.14.20.1,SKiD,real_evidence
EnzymeEC:1.14.99.15,EnzymeEC,1.14.99.15,SKiD,real_evidence
EnzymeEC:1.14.99.50,EnzymeEC,1.14.99.50,SKiD,real_evidence
EnzymeEC:1.14.99.68,EnzymeEC,1.14.99.68,SKiD,real_evidence
EnzymeEC:1.16.1.8,EnzymeEC,1.16.1.8,SKiD,real_evidence
EnzymeEC:1.17.1.10,EnzymeEC,1.17.1.10,SKiD,real_evidence
EnzymeEC:1.17.1.8,EnzymeEC,1.17.1.8,SKiD,real_evidence
EnzymeEC:1.17.1.9,EnzymeEC,1.17.1.9,SKiD,real_evidence
EnzymeEC:1.17.3.2,EnzymeEC,1.17.3.2,SKiD,real_evidence
EnzymeEC:1.17.7.4,EnzymeEC,1.17.7.4,SKiD,real_evidence
EnzymeEC:1.18.1.2,EnzymeEC,1.18.1.2,SKiD,real_evidence
EnzymeEC:1.2.1.104,EnzymeEC,1.2.1.104,SKiD,real_evidence
EnzymeEC:1.2.1.11,EnzymeEC,1.2.1.11,SKiD,real_evidence
EnzymeEC:1.2.1.16,EnzymeEC,1.2.1.16,SKiD,real_evidence
EnzymeEC:1.2.1.19,EnzymeEC,1.2.1.19,SKiD,real_evidence
EnzymeEC:1.2.1.22,EnzymeEC,1.2.1.22,SKiD,real_evidence
EnzymeEC:1.2.1.3,EnzymeEC,1.2.1.3,SKiD,real_evidence
EnzymeEC:1.2.1.30,EnzymeEC,1.2.1.30,SKiD,real_evidence
EnzymeEC:1.2.1.36,EnzymeEC,1.2.1.36,SKiD,real_evidence
EnzymeEC:1.2.1.4,EnzymeEC,1.2.1.4,SKiD,real_evidence
EnzymeEC:1.2.1.44,EnzymeEC,1.2.1.44,SKiD,real_evidence
EnzymeEC:1.2.1.77,EnzymeEC,1.2.1.77,SKiD,real_evidence
EnzymeEC:1.2.1.79,EnzymeEC,1.2.1.79,SKiD,real_evidence
EnzymeEC:1.2.1.8,EnzymeEC,1.2.1.8,SKiD,real_evidence
EnzymeEC:1.2.1.88,EnzymeEC,1.2.1.88,SKiD,real_evidence
EnzymeEC:1.2.3.1,EnzymeEC,1.2.3.1,SKiD,real_evidence
EnzymeEC:1.2.99.7,EnzymeEC,1.2.99.7,SKiD,real_evidence
EnzymeEC:1.20.2.1,EnzymeEC,1.20.2.1,SKiD,real_evidence
EnzymeEC:1.21.1.1,EnzymeEC,1.21.1.1,SKiD,real_evidence
EnzymeEC:1.21.3.3,EnzymeEC,1.21.3.3,SKiD,real_evidence
EnzymeEC:1.3.1.118,EnzymeEC,1.3.1.118,SKiD,real_evidence
EnzymeEC:1.3.1.12,EnzymeEC,1.3.1.12,SKiD,real_evidence
EnzymeEC:1.3.1.122,EnzymeEC,1.3.1.122,SKiD,real_evidence
EnzymeEC:1.3.1.2,EnzymeEC,1.3.1.2,SKiD,real_evidence
EnzymeEC:1.3.1.24,EnzymeEC,1.3.1.24,SKiD,real_evidence
EnzymeEC:1.3.1.31,EnzymeEC,1.3.1.31,SKiD,real_evidence
EnzymeEC:1.3.1.34,EnzymeEC,1.3.1.34,SKiD,real_evidence
EnzymeEC:1.3.1.42,EnzymeEC,1.3.1.42,SKiD,real_evidence
EnzymeEC:1.3.1.56,EnzymeEC,1.3.1.56,SKiD,real_evidence
EnzymeEC:1.3.1.85,EnzymeEC,1.3.1.85,SKiD,real_evidence
EnzymeEC:1.3.1.9,EnzymeEC,1.3.1.9,SKiD,real_evidence
EnzymeEC:1.3.1.92,EnzymeEC,1.3.1.92,SKiD,real_evidence
EnzymeEC:1.3.3.3,EnzymeEC,1.3.3.3,SKiD,real_evidence
EnzymeEC:1.3.3.4,EnzymeEC,1.3.3.4,SKiD,real_evidence
EnzymeEC:1.3.3.6,EnzymeEC,1.3.3.6,SKiD,real_evidence
EnzymeEC:1.3.5.2,EnzymeEC,1.3.5.2,SKiD,real_evidence
EnzymeEC:1.3.8.12,EnzymeEC,1.3.8.12,SKiD,real_evidence
EnzymeEC:1.3.8.4,EnzymeEC,1.3.8.4,SKiD,real_evidence
EnzymeEC:1.3.8.6,EnzymeEC,1.3.8.6,SKiD,real_evidence
EnzymeEC:1.3.98.5,EnzymeEC,1.3.98.5,SKiD,real_evidence
EnzymeEC:1.3.99.17,EnzymeEC,1.3.99.17,SKiD,real_evidence
EnzymeEC:1.3.99.33,EnzymeEC,1.3.99.33,SKiD,real_evidence
EnzymeEC:1.3.99.4,EnzymeEC,1.3.99.4,SKiD,real_evidence
EnzymeEC:1.3.99.5,EnzymeEC,1.3.99.5,SKiD,real_evidence
EnzymeEC:1.4.1.1,EnzymeEC,1.4.1.1,SKiD,real_evidence
EnzymeEC:1.4.1.16,EnzymeEC,1.4.1.16,SKiD,real_evidence
EnzymeEC:1.4.1.2,EnzymeEC,1.4.1.2,SKiD,real_evidence
EnzymeEC:1.4.1.28,EnzymeEC,1.4.1.28,SKiD,real_evidence
EnzymeEC:1.4.1.4,EnzymeEC,1.4.1.4,SKiD,real_evidence
EnzymeEC:1.4.3.10,EnzymeEC,1.4.3.10,SKiD,real_evidence
EnzymeEC:1.4.3.11,EnzymeEC,1.4.3.11,SKiD,real_evidence
EnzymeEC:1.4.3.14,EnzymeEC,1.4.3.14,SKiD,real_evidence
EnzymeEC:1.4.3.19,EnzymeEC,1.4.3.19,SKiD,real_evidence
EnzymeEC:1.4.3.20,EnzymeEC,1.4.3.20,SKiD,real_evidence
EnzymeEC:1.4.3.21,EnzymeEC,1.4.3.21,SKiD,real_evidence
EnzymeEC:1.4.3.3,EnzymeEC,1.4.3.3,SKiD,real_evidence
EnzymeEC:1.4.3.4,EnzymeEC,1.4.3.4,SKiD,real_evidence
EnzymeEC:1.4.3.5,EnzymeEC,1.4.3.5,SKiD,real_evidence
EnzymeEC:1.4.99.6,EnzymeEC,1.4.99.6,SKiD,real_evidence
EnzymeEC:1.5.1.2,EnzymeEC,1.5.1.2,SKiD,real_evidence
EnzymeEC:1.5.1.20,EnzymeEC,1.5.1.20,SKiD,real_evidence
EnzymeEC:1.5.1.3,EnzymeEC,1.5.1.3,SKiD,real_evidence
EnzymeEC:1.5.1.33,EnzymeEC,1.5.1.33,SKiD,real_evidence
EnzymeEC:1.5.1.37,EnzymeEC,1.5.1.37,SKiD,real_evidence
EnzymeEC:1.5.1.5,EnzymeEC,1.5.1.5,SKiD,real_evidence
EnzymeEC:1.5.1.52,EnzymeEC,1.5.1.52,SKiD,real_evidence
EnzymeEC:1.5.1.6,EnzymeEC,1.5.1.6,SKiD,real_evidence
EnzymeEC:1.5.3.1,EnzymeEC,1.5.3.1,SKiD,real_evidence
EnzymeEC:1.5.3.10,EnzymeEC,1.5.3.10,SKiD,real_evidence
EnzymeEC:1.5.3.13,EnzymeEC,1.5.3.13,SKiD,real_evidence
EnzymeEC:1.5.3.14,EnzymeEC,1.5.3.14,SKiD,real_evidence
EnzymeEC:1.5.3.17,EnzymeEC,1.5.3.17,SKiD,real_evidence
EnzymeEC:1.5.3.25,EnzymeEC,1.5.3.25,SKiD,real_evidence
EnzymeEC:1.5.3.5,EnzymeEC,1.5.3.5,SKiD,real_evidence
EnzymeEC:1.5.5.2,EnzymeEC,1.5.5.2,SKiD,real_evidence
EnzymeEC:1.5.99.12,EnzymeEC,1.5.99.12,SKiD,real_evidence
EnzymeEC:1.6.5.10,EnzymeEC,1.6.5.10,SKiD,real_evidence
EnzymeEC:1.6.5.2,EnzymeEC,1.6.5.2,SKiD,real_evidence
EnzymeEC:1.7.1.3,EnzymeEC,1.7.1.3,SKiD,real_evidence
EnzymeEC:1.7.1.6,EnzymeEC,1.7.1.6,SKiD,real_evidence
EnzymeEC:1.7.1.7,EnzymeEC,1.7.1.7,SKiD,real_evidence
EnzymeEC:1.7.2.1,EnzymeEC,1.7.2.1,SKiD,real_evidence
EnzymeEC:1.7.2.2,EnzymeEC,1.7.2.2,SKiD,real_evidence
EnzymeEC:1.7.2.4,EnzymeEC,1.7.2.4,SKiD,real_evidence
EnzymeEC:1.7.3.1,EnzymeEC,1.7.3.1,SKiD,real_evidence
EnzymeEC:1.7.3.3,EnzymeEC,1.7.3.3,SKiD,real_evidence
EnzymeEC:1.7.7.1,EnzymeEC,1.7.7.1,SKiD,real_evidence
EnzymeEC:1.8.1.12,EnzymeEC,1.8.1.12,SKiD,real_evidence
EnzymeEC:1.8.1.14,EnzymeEC,1.8.1.14,SKiD,real_evidence
EnzymeEC:1.8.1.5,EnzymeEC,1.8.1.5,SKiD,real_evidence
EnzymeEC:1.8.1.7,EnzymeEC,1.8.1.7,SKiD,real_evidence
EnzymeEC:1.8.2.2,EnzymeEC,1.8.2.2,SKiD,real_evidence
EnzymeEC:1.8.3.1,EnzymeEC,1.8.3.1,SKiD,real_evidence
EnzymeEC:1.8.4.11,EnzymeEC,1.8.4.11,SKiD,real_evidence
EnzymeEC:1.8.4.14,EnzymeEC,1.8.4.14,SKiD,real_evidence
EnzymeEC:1.8.5.1,EnzymeEC,1.8.5.1,SKiD,real_evidence
EnzymeEC:1.8.5.3,EnzymeEC,1.8.5.3,SKiD,real_evidence
EnzymeEC:1.8.5.4,EnzymeEC,1.8.5.4,SKiD,real_evidence
EnzymeEC:1.8.5.7,EnzymeEC,1.8.5.7,SKiD,real_evidence
EnzymeEC:2.1.1.1,EnzymeEC,2.1.1.1,SKiD,real_evidence
EnzymeEC:2.1.1.10,EnzymeEC,2.1.1.10,SKiD,real_evidence
EnzymeEC:2.1.1.103,EnzymeEC,2.1.1.103,SKiD,real_evidence
EnzymeEC:2.1.1.127,EnzymeEC,2.1.1.127,SKiD,real_evidence
EnzymeEC:2.1.1.14,EnzymeEC,2.1.1.14,SKiD,real_evidence
EnzymeEC:2.1.1.140,EnzymeEC,2.1.1.140,SKiD,real_evidence
EnzymeEC:2.1.1.15,EnzymeEC,2.1.1.15,SKiD,real_evidence
EnzymeEC:2.1.1.2,EnzymeEC,2.1.1.2,SKiD,real_evidence
EnzymeEC:2.1.1.20,EnzymeEC,2.1.1.20,SKiD,real_evidence
EnzymeEC:2.1.1.22,EnzymeEC,2.1.1.22,SKiD,real_evidence
EnzymeEC:2.1.1.234,EnzymeEC,2.1.1.234,SKiD,real_evidence
EnzymeEC:2.1.1.235,EnzymeEC,2.1.1.235,SKiD,real_evidence
EnzymeEC:2.1.1.244,EnzymeEC,2.1.1.244,SKiD,real_evidence
EnzymeEC:2.1.1.255,EnzymeEC,2.1.1.255,SKiD,real_evidence
EnzymeEC:2.1.1.269,EnzymeEC,2.1.1.269,SKiD,real_evidence
EnzymeEC:2.1.1.273,EnzymeEC,2.1.1.273,SKiD,real_evidence
EnzymeEC:2.1.1.28,EnzymeEC,2.1.1.28,SKiD,real_evidence
EnzymeEC:2.1.1.292,EnzymeEC,2.1.1.292,SKiD,real_evidence
EnzymeEC:2.1.1.300,EnzymeEC,2.1.1.300,SKiD,real_evidence
EnzymeEC:2.1.1.303,EnzymeEC,2.1.1.303,SKiD,real_evidence
EnzymeEC:2.1.1.316,EnzymeEC,2.1.1.316,SKiD,real_evidence
EnzymeEC:2.1.1.341,EnzymeEC,2.1.1.341,SKiD,real_evidence
EnzymeEC:2.1.1.366,EnzymeEC,2.1.1.366,SKiD,real_evidence
EnzymeEC:2.1.1.45,EnzymeEC,2.1.1.45,SKiD,real_evidence
EnzymeEC:2.1.1.5,EnzymeEC,2.1.1.5,SKiD,real_evidence
EnzymeEC:2.1.1.50,EnzymeEC,2.1.1.50,SKiD,real_evidence
EnzymeEC:2.1.1.79,EnzymeEC,2.1.1.79,SKiD,real_evidence
EnzymeEC:2.1.1.8,EnzymeEC,2.1.1.8,SKiD,real_evidence
EnzymeEC:2.1.2.1,EnzymeEC,2.1.2.1,SKiD,real_evidence
EnzymeEC:2.1.3.3,EnzymeEC,2.1.3.3,SKiD,real_evidence
EnzymeEC:2.2.1.1,EnzymeEC,2.2.1.1,SKiD,real_evidence
EnzymeEC:2.2.1.2,EnzymeEC,2.2.1.2,SKiD,real_evidence
EnzymeEC:2.2.1.7,EnzymeEC,2.2.1.7,SKiD,real_evidence
EnzymeEC:2.2.1.9,EnzymeEC,2.2.1.9,SKiD,real_evidence
EnzymeEC:2.3.1.16,EnzymeEC,2.3.1.16,SKiD,real_evidence
EnzymeEC:2.3.1.177,EnzymeEC,2.3.1.177,SKiD,real_evidence
EnzymeEC:2.3.1.203,EnzymeEC,2.3.1.203,SKiD,real_evidence
EnzymeEC:2.3.1.212,EnzymeEC,2.3.1.212,SKiD,real_evidence
EnzymeEC:2.3.1.247,EnzymeEC,2.3.1.247,SKiD,real_evidence
EnzymeEC:2.3.1.248,EnzymeEC,2.3.1.248,SKiD,real_evidence
EnzymeEC:2.3.1.30,EnzymeEC,2.3.1.30,SKiD,real_evidence
EnzymeEC:2.3.1.4,EnzymeEC,2.3.1.4,SKiD,real_evidence
EnzymeEC:2.3.1.47,EnzymeEC,2.3.1.47,SKiD,real_evidence
EnzymeEC:2.3.1.48,EnzymeEC,2.3.1.48,SKiD,real_evidence
EnzymeEC:2.3.1.5,EnzymeEC,2.3.1.5,SKiD,real_evidence
EnzymeEC:2.3.1.50,EnzymeEC,2.3.1.50,SKiD,real_evidence
EnzymeEC:2.3.1.7,EnzymeEC,2.3.1.7,SKiD,real_evidence
EnzymeEC:2.3.1.74,EnzymeEC,2.3.1.74,SKiD,real_evidence
EnzymeEC:2.3.1.81,EnzymeEC,2.3.1.81,SKiD,real_evidence
EnzymeEC:2.3.1.82,EnzymeEC,2.3.1.82,SKiD,real_evidence
EnzymeEC:2.3.1.85,EnzymeEC,2.3.1.85,SKiD,real_evidence
EnzymeEC:2.3.1.87,EnzymeEC,2.3.1.87,SKiD,real_evidence
