compound_id,compound_name,smiles,source_resource,source_detail,evidence_class,compound_name_canonical,mw,logp,tpsa,hbd,hba,hazard_proxy,persistence_proxy,availability_score,compound_priority_class,compound_exclusion_reason,natural_product_evidence_score,known_inhibitor_similarity_score,functional_group_inhibition_score,transition_state_mimic_score,active_site_compatibility_score,delivery_plausibility_score,solvent_penalty,reactive_aldehyde_penalty,generic_assay_penalty,intervention_suitability_score,phytochemical_class,phytochemical_class_score,functional_group_hits,compound_rule_evidence_class
reduced acetylpyridine adenine dinucleotide,reduced acetylpyridine adenine dinucleotide,O[C@@H]1[C@H](O)[C@H](O[C@H]1[n+]1cccc(c1)C(=O)C)COP(=O)(OP(=O)(OC[C@H]1O[C@H]([C@@H]([C@@H]1O)O)n1cnc2c1ncnc2N)[O-])[O-],SKiD_substrates,EC=1.1.1.37;site=Substrate+Cofactor,real_evidence,reduced acetylpyridine adenine dinucleotide,661.434,-3.1761999999999952,297.8999999999999,5.0,18.0,0.9482199999999994,0.0,0.55,known_inhibitor_like,,0.443,0.7000000000000001,0.27,0.1,0.2839226384615385,0.14422638461538462,0.0,0.0,0.15,0.2760562384615386,alkaloid_nitrogenous,0.63,alkaloid_nitrogenous,rule_based_model_inference_with_real_source_evidence
isethionate,isethionate,S(=O)(=O)([O-])CCO,SKiD_substrates,EC=1.1.1.313;site=Substrate_only,real_evidence,isethionate,125.12499999999999,-1.4760999999999997,77.43,1.0,4.0,0.2887833333333333,0.0,0.55,natural_product_candidate,,0.443,0.15,0.15,0.25,0.22873711615384615,0.5873711615384616,0.0,0.0,0.15,0.2738031161538461,organosulfur_sulfonate,0.63,,rule_based_model_inference_with_real_source_evidence
"3,4-dimethoxybenzyl alcohol","3,4-dimethoxybenzyl alcohol",COC=1C=C(CO)C=CC1OC,SKiD_substrates,EC=1.11.2.1;site=Substrate+Cofactor,real_evidence,3 4-dimethoxybenzyl alcohol,168.19199999999998,1.1961,38.69,1.0,3.0,0.2896725,0.311478,0.55,known_inhibitor_like,,0.26,0.7000000000000001,0.15,0.1,0.30207556461538465,0.7457556461538462,0.0,0.0,0.15,0.27079662461538473,unclassified_or_unknown,0.0,,rule_based_model_inference_with_real_source_evidence
(R)-2-(4-chloro-2-methylphenoxy)propanoate,(R)-2-(4-chloro-2-methylphenoxy)propanoate,ClC1=CC(=C(O[C@@H](C(=O)[O-])C)C=C1)C,SKiD_substrates,EC=1.14.11.44;site=Substrate_only,real_evidence,r -2- 4-chloro-2-methylphenoxy propanoate,213.64,1.1656199999999999,49.36,0.0,3.0,0.32373583333333333,0.33669666666666664,0.55,known_inhibitor_like,,0.26,0.7000000000000001,0.15,0.1,0.3071396006153846,0.7963960061538461,0.0,0.0,0.15,0.2697555672820513,unclassified_or_unknown,0.0,,rule_based_model_inference_with_real_source_evidence
2-deoxy-scyllo-inosamine,2-deoxy-scyllo-inosamine,C1C(C(C(C(C1O)O)O)O)N,SKiD_substrates,EC=1.1.99.38;site=Substrate_only,real_evidence,2-deoxy-scyllo-inosamine,163.17299999999997,-2.8389999999999986,106.94,5.0,5.0,0.4908524999999998,0.0,0.55,natural_product_candidate,,0.443,0.15,0.27,0.25,0.2638870038461538,0.5188700384615386,0.0,0.0,0.15,0.2679047038461539,alkaloid_nitrogenous,0.63,alkaloid_nitrogenous,rule_based_model_inference_with_real_source_evidence
D-galactosamine,D-galactosamine,OC1[C@H](N)[C@@H](O)[C@@H](O)[C@H](O1)CO,SKiD_substrates,EC=1.1.1.121;site=Cofactor_only,real_evidence,d-galactosamine,179.17199999999997,-3.2549999999999994,116.17000000000002,5.0,6.0,0.5561849999999999,0.0,0.55,natural_product_candidate,,0.443,0.15,0.27,0.25,0.26269993076923076,0.5069993076923076,0.0,0.0,0.15,0.25887773076923076,alkaloid_nitrogenous,0.63,alkaloid_nitrogenous,rule_based_model_inference_with_real_source_evidence
D-glucosamine,D-glucosamine,OC1[C@H](N)[C@@H](O)[C@H](O)[C@H](O1)CO,SKiD_substrates,EC=1.1.1.121;site=Cofactor_only,real_evidence,d-glucosamine,179.17199999999997,-3.2549999999999994,116.17000000000002,5.0,6.0,0.5561849999999999,0.0,0.55,natural_product_candidate,,0.443,0.15,0.27,0.25,0.26269993076923076,0.5069993076923076,0.0,0.0,0.15,0.25887773076923076,alkaloid_nitrogenous,0.63,alkaloid_nitrogenous,rule_based_model_inference_with_real_source_evidence
acetylpyridine,acetylpyridine,C(C)(=O)C1=NC=CC=C1,SKiD_substrates,EC=1.1.1.95;site=Substrate+Cofactor,real_evidence,acetylpyridine,121.13899999999997,1.2842,29.96,0.0,2.0,0.2614741666666667,0.29479266666666665,0.55,natural_product_candidate,,0.443,0.15,0.27,0.1,0.22956471,0.7006471,0.0,0.0,0.15,0.2585243966666667,alkaloid_nitrogenous,0.63,alkaloid_nitrogenous,rule_based_model_inference_with_real_source_evidence
eugenol,eugenol,C=1(C(O)=CC=C(CC=C)C1)OC,SKiD_substrates,EC=1.1.3.38;site=Substrate+Cofactor,real_evidence,eugenol,164.204,2.1292999999999997,29.46,1.0,2.0,0.40299916666666663,0.46435266666666664,0.55,natural_product_candidate,,0.643,0.15,0.15,0.1,0.19495623692307693,0.7745623692307693,0.0,0.0,0.15,0.25816812358974356,terpenoid_lipophilic,0.63,,rule_based_model_inference_with_real_source_evidence
5-Hydroxyuracil,5-Hydroxyuracil,OC=1C(NC(NC1)=O)=O,SKiD_substrates,EC=1.14.11.6;site=Substrate_only,real_evidence,5-hydroxyuracil,128.087,-1.2312000000000003,85.94999999999999,3.0,3.0,0.2606391666666667,0.0,0.55,low_priority_unknown,,0.26,0.15,0.42000000000000004,0.25,0.32641967461538457,0.6191967461538461,0.0,0.0,0.15,0.24274297461538458,unclassified_or_unknown,0.0,phenolic_or_aromatic_hydroxyl,rule_based_model_inference_with_real_source_evidence
2-hydroxypentanoate,2-hydroxypentanoate,OC(C(=O)[O-])CCC,SKiD_substrates,EC=1.1.3.2;site=Substrate_only,real_evidence,2-hydroxypentanoate,117.124,-1.1027000000000005,60.36,1.0,3.0,0.23544083333333338,0.0,0.55,low_priority_unknown,,0.26,0.15,0.42000000000000004,0.25,0.3225695015384615,0.5806950153846153,0.0,0.0,0.15,0.24191660153846153,unclassified_or_unknown,0.0,phenolic_or_aromatic_hydroxyl,rule_based_model_inference_with_real_source_evidence
Hydroxyquinol,Hydroxyquinol,OC1=C(O)C=CC(=C1)O,SKiD_substrates,EC=1.13.11.1;site=Substrate_only,real_evidence,hydroxyquinol,126.11099999999996,0.8033999999999997,60.69,3.0,3.0,0.2055174999999999,0.2179739999999999,0.55,low_priority_unknown,,0.26,0.15,0.42000000000000004,0.25,0.33630635461538455,0.718063546153846,0.0,0.0,0.15,0.2418063346153846,unclassified_or_unknown,0.0,phenolic_or_aromatic_hydroxyl,rule_based_model_inference_with_real_source_evidence
4-(Methoxymethyl)phenol,4-(Methoxymethyl)phenol,COCC1=CC=C(C=C1)O,SKiD_substrates,EC=1.1.3.38;site=Substrate+Cofactor,real_evidence,4- methoxymethyl phenol,138.16599999999997,1.5386,29.46,1.0,2.0,0.3074633333333333,0.34854399999999996,0.55,oxidative_stress_inducer_candidate,,0.46,0.15,0.42000000000000004,0.1,0.2850948876923077,0.730948876923077,0.0,0.0,0.15,0.23691576769230777,unclassified_or_unknown,0.0,phenolic_or_aromatic_hydroxyl,rule_based_model_inference_with_real_source_evidence
indole,indole,N1C=CC2=CC=CC=C12,SKiD_substrates,EC=1.11.2.1;site=Substrate+Cofactor,real_evidence,indole,117.15099999999997,2.1679000000000004,15.79,1.0,0.0,0.36861333333333335,0.4394173333333334,0.55,natural_product_candidate,,0.443,0.15,0.27,0.1,0.23084282230769232,0.713428223076923,0.0,0.0,0.15,0.23537583564102565,alkaloid_nitrogenous,0.63,alkaloid_nitrogenous,rule_based_model_inference_with_real_source_evidence
D-3-hydroxybutyrate,D-3-hydroxybutyrate,CC(CC(=O)[O-])O,SKiD_substrates,EC=1.1.1.30;site=Substrate+Cofactor,real_evidence,d-3-hydroxybutyrate,103.09699999999998,-1.4928,60.36,1.0,3.0,0.2725141666666666,0.0,0.55,low_priority_unknown,,0.26,0.15,0.42000000000000004,0.25,0.3187838715384615,0.5428387153846154,0.0,0.0,0.15,0.23368217153846155,unclassified_or_unknown,0.0,phenolic_or_aromatic_hydroxyl,rule_based_model_inference_with_real_source_evidence
2-hydroxybutanoate,2-hydroxybutanoate,OC(C(=O)[O-])CC,SKiD_substrates,EC=1.1.3.2;site=Substrate_only,real_evidence,2-hydroxybutanoate,103.097,-1.4928000000000001,60.36,1.0,3.0,0.27251416666666667,0.0,0.55,low_priority_unknown,,0.26,0.15,0.42000000000000004,0.25,0.3187838715384615,0.5428387153846154,0.0,0.0,0.15,0.23368217153846155,unclassified_or_unknown,0.0,phenolic_or_aromatic_hydroxyl,rule_based_model_inference_with_real_source_evidence
(R)-3-hydroxyisobutyrate,(R)-3-hydroxyisobutyrate,OC[C@H](C(=O)[O-])C,SKiD_substrates,EC=1.1.1.31;site=Substrate+Cofactor,real_evidence,r -3-hydroxyisobutyrate,103.097,-1.6352999999999998,60.36,1.0,3.0,0.2903266666666666,0.0,0.55,low_priority_unknown,,0.26,0.15,0.42000000000000004,0.25,0.3178148715384615,0.5331487153846153,0.0,0.0,0.15,0.2305756715384615,unclassified_or_unknown,0.0,phenolic_or_aromatic_hydroxyl,rule_based_model_inference_with_real_source_evidence
(S)-3-hydroxyisobutyrate,(S)-3-hydroxyisobutyrate,OC[C@@H](C(=O)[O-])C,SKiD_substrates,EC=1.1.1.31;site=Substrate+Cofactor,real_evidence,s -3-hydroxyisobutyrate,103.097,-1.6352999999999998,60.36,1.0,3.0,0.2903266666666666,0.0,0.55,low_priority_unknown,,0.26,0.15,0.42000000000000004,0.25,0.3178148715384615,0.5331487153846153,0.0,0.0,0.15,0.2305756715384615,unclassified_or_unknown,0.0,phenolic_or_aromatic_hydroxyl,rule_based_model_inference_with_real_source_evidence
"(1Z)-1,2-dihydroxyhex-1-en-3-one","(1Z)-1,2-dihydroxyhex-1-en-3-one",O\C=C(\C(CCC)=O)/O,SKiD_substrates,EC=1.13.11.54;site=Substrate_only,real_evidence,1z -1 2-dihydroxyhex-1-en-3-one,130.143,1.313,57.53,2.0,3.0,0.27257750000000003,0.30559533333333333,0.55,low_priority_unknown,,0.26,0.15,0.42000000000000004,0.25,0.3396232961538461,0.7512329615384616,0.0,0.0,0.15,0.23006636948717946,unclassified_or_unknown,0.0,phenolic_or_aromatic_hydroxyl,rule_based_model_inference_with_real_source_evidence
4-Ethylphenol,4-Ethylphenol,C(C)C1=CC=C(C=C1)O,SKiD_substrates,EC=1.1.3.38;site=Substrate+Cofactor,real_evidence,4-ethylphenol,122.16699999999996,1.9545999999999997,20.23,1.0,1.0,0.3461308333333333,0.40721133333333326,0.55,oxidative_stress_inducer_candidate,,0.46,0.15,0.42000000000000004,0.1,0.28524696076923073,0.7324696076923076,0.0,0.0,0.15,0.22773435410256412,unclassified_or_unknown,0.0,phenolic_or_aromatic_hydroxyl,rule_based_model_inference_with_real_source_evidence
